序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
42,600167,联美控股,8.73,9.95,0.79,49239.0,42985970.0,0.0,8.73,8.73,8.73,7.94,0.47,0.22,18.83,1.82,19754597242.0,19754597242.0,0.0,0.0,53.16,57.87
43,600798,宁波海运,4.42,9.95,0.4,1929298.0,832145095.0,11.94,4.42,3.94,3.98,4.02,5.81,15.99,-67.96,1.37,5332881168.0,5332881168.0,0.0,0.0,-5.96,46.84
44,002515,金字火腿,7.85,9.94,0.71,2395905.0,1875313473.27,3.5,7.85,7.6,7.85,7.14,15.08,19.79,207.31,3.64,9503321187.0,9503207441.0,0.0,0.0,33.96,74.44
45,603030,全筑股份,3.43,9.94,0.31,635345.0,214049589.0,9.29,3.43,3.14,3.17,3.12,0.68,4.82,-32.5,5.09,4517081974.0,4517081974.0,0.0,0.0,27.04,36.65
46,600337,美克家居,2.44,9.91,0.22,651143.0,153568698.0,8.56,2.44,2.25,2.26,2.22,1.07,4.53,-19.93,1.32,3506275454.0,3506275454.0,0.0,0.0,9.91,32.61
47,600159,大龙地产,3.34,9.87,0.3,584641.0,191127670.0,9.21,3.34,3.06,3.06,3.04,1.47,7.04,-128.86,1.62,2772210795.0,2772210795.0,0.0,0.0,21.9,39.17
48,301133,金钟股份,34.3,9.44,2.96,82880.0,278020641.53,13.43,34.99,30.78,31.53,31.34,3.23,8.6,75.42,3.61,3657186187.0,3304511701.0,-0.23,-0.75,53.88,57.12
49,688081,兴图新科,38.94,8.86,3.17,76486.0,285737825.0,13.5,39.23,34.4,36.0,35.77,1.7,7.42,-66.01,9.89,4012377600.0,4012377600.0,2.8,2.47,90.88,147.4
50,603322,超讯通信,50.4,8.74,4.05,282948.0,1409357054.0,5.2,50.91,48.5,48.67,46.35,4.7,17.96,55.09,26.45,7942374518.0,7942374518.0,-0.1,0.28,25.16,32.63
51,301052,果麦文化,91.0,8.35,7.01,99373.0,869819209.8,13.24,92.0,80.88,83.69,83.99,3.03,12.39,795.08,12.59,9005299849.0,7297828629.0,0.55,0.01,127.5,258.41
52,688330,宏力达,44.06,8.15,3.32,145726.0,643223586.0,10.95,46.57,42.11,42.78,40.74,4.78,10.41,31.27,1.61,6168400000.0,6168400000.0,0.07,1.29,74.56,70.12
53,605151,西上海,21.69,7.91,1.59,52934.0,109947216.0,9.5,21.69,19.78,20.2,20.1,3.63,3.93,-205.71,2.16,2918481075.0,2918481075.0,3.33,3.63,2.02,36.16
54,601022,宁波远洋,11.17,7.82,0.81,767781.0,841965771.0,10.14,11.4,10.35,10.54,10.36,4.64,30.88,19.35,2.49,14617434341.0,2777234341.0,-0.71,-0.18,11.7,41.39
55,300128,锦富技术,5.79,7.82,0.42,1399816.0,824375825.61,12.48,6.09,5.42,5.42,5.37,6.02,10.79,-32.74,10.52,7521878235.0,7513781644.0,0.35,0.17,4.7,12.43
56,688432,有研硅,13.19,7.76,0.95,244694.0,309221171.0,12.42,13.26,11.74,12.21,12.24,5.85,4.82,77.6,3.75,16456121755.0,6694791029.0,0.53,-0.23,18.62,17.35
57,600170,上海建工,3.5,7.69,0.25,12358406.0,3951036684.0,16.31,3.54,3.01,3.13,3.25,2.02,13.91,21.9,1.0,31100789104.0,31100789104.0,0.86,3.24,50.21,35.14
58,300814,中富电路,55.98,7.63,3.97,165483.0,898723995.19,13.31,58.5,51.58,53.0,52.01,2.36,8.64,319.22,6.57,10716258789.0,10716258789.0,-0.64,-2.17,69.43,73.21
59,301008,宏昌科技,52.12,7.46,3.62,150963.0,774288499.72,17.61,55.05,46.51,46.51,48.5,1.58,13.03,213.8,4.61,6825803756.0,6037749356.0,0.52,-0.59,128.8,178.27
60,301217,铜冠铜箔,34.94,7.38,2.4,514663.0,1849518633.25,9.86,37.5,34.29,35.52,32.54,3.29,6.21,414.34,5.38,28965803107.0,28965803107.0,-0.63,-1.85,178.63,215.34
61,830839,万通液压,47.56,7.38,3.27,33515.0,151946099.66,10.34,47.58,43.0,43.39,44.29,2.17,5.07,42.11,9.53,5669865400.0,3141760095.0,1.19,1.19,49.89,205.66
62,300450,先导智能,63.19,7.3,4.3,1555495.0,9630535344.72,11.63,64.8,57.95,58.88,58.89,1.97,9.97,66.85,8.04,98965842118.0,98539393598.0,0.52,0.83,157.29,216.58
63,300379,*ST东通,2.1,7.14,0.14,917445.0,190403160.64,6.12,2.14,2.02,2.04,1.96,2.42,17.42,-10.62,0.38,1171637939.0,1105938884.0,-0.47,-0.47,-63.6,-86.08
64,300350,华鹏飞,7.38,7.11,0.49,924500.0,671978665.52,16.84,7.89,6.73,6.81,6.89,3.35,19.6,999.12,4.5,4147650619.0,3480152777.0,-0.27,-0.14,20.39,36.67
65,603618,杭电股份,11.91,7.1,0.79,1363483.0,1585943355.0,9.98,12.13,11.02,11.12,11.12,3.41,19.72,108.88,2.81,8234283587.0,8234283587.0,1.1,1.53,94.93,121.79
66,600995,南网储能,12.51,7.01,0.82,637779.0,805173896.0,10.61,12.86,11.62,11.64,11.69,6.79,2.0,24.01,1.82,39982032621.0,39982032621.0,0.48,0.72,26.62,24.48
67,603178,圣龙股份,21.68,7.01,1.42,257176.0,554679832.0,11.9,22.29,19.88,20.19,20.26,5.23,10.88,-46.48,4.16,5125409580.0,5125409580.0,-0.32,-0.5,18.73,11.93
